fullVisitorId,channelGrouping,time,country,city,totalTransactionRevenue,transactions,timeOnSite,pageviews,sessionQualityDim,date,visitId,type,productRefundAmount,productQuantity,productPrice,productRevenue,productSKU,v2ProductName,v2ProductCategory,productVariant,currencyCode,itemQuantity,itemRevenue,transactionRevenue,transactionId,pageTitle,searchKeyword,pagePathLevel1,eCommerceAction_type,eCommerceAction_step,eCommerceAction_option
2817722496551184128,Direct,122213,Taiwan,(not set),,,142,7,,20160913,1473757371,PAGE,,,2990000,,GGOEGAAX0074,Google 22 oz Water Bottle,Home/Drinkware/,(not set),USD,,,,,Drinkware,,/google+redesign/,0,1,
6938960486452471698,Referral,268947,United States,not available in demo dataset,,,269,6,,20170421,1492809942,PAGE,,,98990000,,GGOEGAAX0607,Google Women's Convertible Vest-Jacket Sea Foam Green,Home/Apparel/Women's/,(not set),USD,,,,,Women's Apparel | Google Merchandise Store,,/google+redesign/,0,1,
5307554331754279093,Organic Search,61402,United States,not available in demo dataset,,,61,6,,20170312,1489340747,PAGE,,,24990000,,GGOEGHPA003010,Google Wool Heather Cap Heather/Navy,Home/Apparel/Headgear/,(not set),USD,,,,,Headgear | Apparel | Google Merchandise Store,,/google+redesign/,0,1,
5256949873742090146,Display,8655,United States,not available in demo dataset,,,96,5,,20170215,1487200514,PAGE,,,76990000,,GGOEGEVB070699,Google Bluetooth Speaker-Power Bank,Home/Electronics/Audio/,(not set),USD,,,,,Audio | Electronics | Google Merchandise Store,,/google+redesign/,0,1,
7549308697995967647,Referral,0,United States,London,,,1238,3,,20161218,1482129412,PAGE,,,109990000,,GGOEGAAX0580,Google Women's 1/4 Zip Jacket Charcoal,Home/Apparel/Women's/Women's-Outerwear/,(not set),USD,,,,,Women's Outerwear | Apparel | Google Merchandise Store,,/google+redesign/,0,1,
5444913961890272648,Organic Search,25667,(not set),(not set),,,33,4,,20160911,1473660616,PAGE,,,4990000,,GGOEGBFC018799,Electronics Accessory Pouch,Home/Lifestyle/,(not set),USD,,,,,Lifestyle,,/google+redesign/,0,1,
914760062456295531,Organic Search,14737,El Salvador,not available in demo dataset,,,116,6,,20170413,1492130874,PAGE,,,16990000,,GGOEGAAX0106,Google Men's 100% Cotton Short Sleeve Hero Tee Navy,Home/Apparel/Men's/Men's-T-Shirts/,(not set),USD,,,,,Men's T-Shirts | Apparel | Google Merchandise Store,,/google+redesign/,0,1,
4476811245637991248,Organic Search,123686,United States,not available in demo dataset,,,124,8,,20160902,1472834061,PAGE,,,5990000,,GGOEGOLC013299,Spiral Notebook and Pen Set,Home/Office/,(not set),USD,,,,,Office,,/google+redesign/,0,1,
5153038635419747224,Organic Search,8860,United Kingdom,not available in demo dataset,,,9,2,,20170628,1498687471,PAGE,,,18990000,,GGOEGAAX0325,YouTube Men's Short Sleeve Hero Tee Charcoal,Home/Shop by Brand/YouTube/,(not set),USD,,,,,YouTube | Shop by Brand | Google Merchandise Store,,/google+redesign/,0,1,
0719635766852234475,Organic Search,39393,Australia,Sydney,,,39,2,,20170613,1497352220,PAGE,,,37990000,,GGOEGAAX0628,Google Infant Zip Hood Royal Blue,Home/Apparel/Kid's/,(not set),USD,,,,,Kids' Apparel | Google Merchandise Store,,/google+redesign/,0,1,
3311454414003524030,Organic Search,0,United States,Philadelphia,,,,1,1,20170718,1500429273,PAGE,,,20990000,,GGOEGAAX0355,Google Men's Vintage Tank,Home/Apparel/Men's/Men's-T-Shirts/,(not set),USD,,,,,Men's T-Shirts | Apparel | Google Merchandise Store,,/google+redesign/,0,1,
