productSKU,total_ordered,name,stockLevel,restockingLeadTime,sentimentScore,sentimentMagnitude,ratio
GGOEGAAX0081,42,Recycled Paper Journal Set,740,5,0.3,0.5,0.05675675675675676
GGOENEBQ084699,7, Learning Thermostat 3rd Gen-USA - White,1142,5,0.3,0.5,0.0061295971978984239
GGOEGAAX0325,6, Men's Short Sleeve Hero Tee Charcoal,104,12,0.0,0.5,0.057692307692307696
GGOEYDHJ056099,50,22 oz  Bottle Infuser,1944,7,0.3,0.5,0.0257201646090535
GGOEADHH073999,167,Android 17oz Stainless Steel Sport Bottle,283,8,0.3,0.5,0.59010600706713778
GGOEWAEA083899,1, Dress Socks,20,6,0.3,0.5,0.05
GGOEGAAJ032313,6, Men's Short Sleeve Hero Tee Charcoal,61,8,0.3,0.5,0.098360655737704916
GGOEGAAB033815,9, Men's Vintage Badge Tee Black,578,13,0.3,0.5,0.015570934256055362
GGOEGPJC203399,14,Crunch Noise Dog Toy,352,9,0.7,0.5,0.039772727272727272
GGOEGALB034113,16, Women's Vintage Hero Tee Black,153,14,0.3,0.5,0.10457516339869281
GGOEGHGH019699,14, Sunglasses,2086,6,0.5,0.5,0.0067114093959731542
GGOENEBJ079499,94, Learning Thermostat 3rd Gen-USA - Stainless Steel,2525,7,0.3,0.5,0.037227722772277226
GGOEGOBG023599,3,Colored Pencil Set,367,13,0.3,0.5,0.0081743869209809257
GGOEGAAX0620,20, Infant Short Sleeve Tee Green,52,7,0.3,0.5,0.38461538461538464
GGOEGDWR015799,5,Red Shine 15 oz Mug,1417,20,0.3,0.5,0.0035285815102328866
GGOEGODR017799,39,Recycled Mouse Pad,1756,39,0.3,1.0,0.022209567198177675
GGOEGBJC014399,3, Tote Bag,155,6,0.6,1.0,0.01935483870967742
GGOENEBQ078999,112, Cam Outdoor Security Camera - USA,4683,10,0.6,1.0,0.02391629297458894
GGOEGAEQ027913,2, Women's Short Sleeve Hero Tee White,65,7,0.6,1.0,0.030769230769230771
GGOEGAAX0795,7,25L Classic Rucksack,114,6,0.7,1.0,0.061403508771929821
GGOEGGCX056199,1,Gift Card- $100.00,77,10,0.6,1.0,0.012987012987012988
GGOEGALB034115,4, Women's Vintage Hero Tee Black,213,9,0.6,1.0,0.018779342723004695
GGOEGHGT019599,14, Sunglasses,376,8,0.5,1.0,0.037234042553191488
GGOENEBD084799,10, Learning Thermostat 3rd Gen-USA - Copper,564,9,0.7,1.0,0.017730496453900711
GGOEGADB056915,3, Men's Performance Full Zip Jacket Black,70,18,0.6,1.0,0.042857142857142858
GGOEGAAX0617,6,Android Onesie Gold,53,6,0.6,1.0,0.11320754716981132
GGOEGAAX0626,2,Android Infant Short Sleeve Tee Pink,21,7,0.6,1.0,0.095238095238095233
GGOEGAAX0320,1,Android Men's Short Sleeve Hero Tee White,38,11,-0.1,1.0,0.026315789473684209
GGOEGAEJ028013,8, Women's Short Sleeve Hero Tee Grey,117,6,0.6,1.0,0.068376068376068383
GGOEGAAX0289,1, Women's Short Sleeve Hero Dark Grey,50,5,0.6,1.5,0.02
GGOEGAAX0338,1, Men's Vintage Badge Tee Black,677,8,0.5,1.5,0.0014771048744460858
GGOEGALB036516,4, Women's Scoop Neck Tee Black,23,5,0.1,0.3,0.17391304347826086
GGOEAAAP081217,2,Android Men's Take Charge Short Sleeve Tee Purple,7,15,0.1,0.3,0.2857142857142857
GGOEGCMB020932,5,Suitcase Organizer Cubes,342,7,0.8,0.3,0.014619883040935672
GGOEGAAL010614,12, Men's 100% Cotton Short Sleeve Hero Tee Navy,74,15,0.1,0.3,0.16216216216216217
GGOEGOCC077999,290, Spiral Journal with Pen,4668,10,0.1,0.3,0.062125107112253643
GGOEGCBB074199,2, Car Clip Phone Holder,205,5,0.2,0.3,0.00975609756097561
GGOEYAAB031814,1, Men's Short Sleeve Hero Tee Black,40,14,0.1,0.3,0.025
GGOENEBQ079099,24, Protect Smoke + CO White Battery Alarm-USA,325,11,0.1,0.3,0.073846153846153853
GGOEGAAX0318,8, Men's Short Sleeve Hero Tee Black,275,6,-0.1,0.3,0.029090909090909091
GGOEGAEJ028115,1, Women's Short Sleeve Badge Tee Grey,13,8,0.1,0.3,0.076923076923076927
GGOEAAWJ062548,7,Android Infant Short Sleeve Tee Pewter,2,14,0.1,0.3,3.5
GGOEGAEJ031315,18, Tri-blend Hoodie Grey,34,12,0.2,0.3,0.52941176470588236
GGOENEBB078899,102, Cam Indoor Security Camera - USA,2615,42,0.2,0.3,0.039005736137667307
GGOEGPJC019099,52,"7"" Dog Frisbee",154,11,0.8,0.3,0.33766233766233766
GGOEGHPB003410,1, Snapback Hat Black,105,3,0.1,0.3,0.0095238095238095247
GGOEGALQ034213,5, Women's Vintage Hero Tee White,94,6,0.2,0.3,0.053191489361702128
GGOEGOAQ020099,22,Four Color Retractable Pen,2450,22,0.2,0.3,0.008979591836734694
GGOEYFKQ020699,30, Custom Decals,4536,14,0.1,0.3,0.0066137566137566134
GGOEGOAB022499,105,Satin Black Ballpoint Pen,477,2,0.1,0.3,0.22012578616352202
GGOEGKAA019299,34,Switch Tone Color Crayon Pen,388,12,0.2,0.3,0.087628865979381437
GGOEGAYB068056,3, Youth Baseball Raglan Heather/Black,2,13,0.3,0.6,1.5
GGOEGAAJ032317,2, Men's Short Sleeve Hero Tee Charcoal,25,8,0.3,0.6,0.08
GGOEGHPJ080310,189, Blackout Cap,415,6,0.3,0.6,0.45542168674698796
GGOEGFSR022099,3, Kick Ball,723,5,0.6,0.6,0.0041493775933609959
GGOEYHPB072210,9, Twill Cap,1997,2,0.3,0.6,0.0045067601402103159
GGOEGAAB010515,1, Men's 100% Cotton Short Sleeve Hero Tee Black,193,19,0.4,0.6,0.0051813471502590676
GGOEGADJ056814,4, Men's Watershed Full Zip Hoodie Grey,57,9,0.3,0.6,0.070175438596491224
GGOEYAAJ033014,30, Men's Long & Lean Tee Charcoal,42,11,0.4,0.6,0.7142857142857143
GGOEGAAX0279,4, Women's Short Sleeve Hero Tee White,41,5,0.1,0.6,0.0975609756097561
GGOEAFKQ020499,19,8 pc Android Sticker Sheet,613,12,0.7,1.2,0.030995106035889071
GGOEGAAJ032816,22, Men's Long & Lean Tee Charcoal,309,16,0.8,1.2,0.071197411003236247
GGOEGOLC013299,69,Spiral Notebook and Pen Set,6708,11,0.8,1.2,0.010286225402504472
GGOEGFYQ016599,253,Foam Can and Bottle Cooler,4495,10,0.7,1.2,0.056284760845383759
GGOEGOAQ018099,3,Pen Pencil & Highlighter Set,1939,5,0.7,1.2,0.0015471892728210418
GGOEGFKA022299,53,Keyboard DOT Sticker,189,9,0.7,1.2,0.28042328042328041
GGOEGAAX0309,1,Android Women's Long Sleeve Blended Cardigan Grey,28,18,0.4,1.2,0.035714285714285712
GGOEGBPB021199,13, Slim Utility Travel Bag,516,12,0.8,1.2,0.025193798449612403
GGOEGAAC035014,2, Men's Bayside Graphic Tee,9,14,0.7,1.2,0.22222222222222221
GGOEGBPB081999,1,UpCycled Bike Saddle Bag,79,12,0.2,1.2,0.012658227848101266
GGOEGADJ056815,2, Men's Watershed Full Zip Hoodie Grey,105,17,0.8,1.2,0.019047619047619049
GGOEGAAX0591,3, Men's Short Sleeve Performance Badge Tee Pewter,29,15,0.6,1.7,0.10344827586206896
GGOEGOAQ012899,456,Ballpoint LED Light Pen,2098,11,0.4,0.7,0.21734985700667303
GGOEYAAJ032514,2, Men's Short Sleeve Hero Tee Charcoal,41,12,0.4,0.7,0.04878048780487805
GGOEGAAX0781,82, Leather Journal,181,8,0.4,0.7,0.45303867403314918
GGOEGAAX0625,3,Android Infant Short Sleeve Tee Pewter,23,16,0.4,0.7,0.13043478260869565
